InfantID,TxtFileName,ElapsedTime
WW04,WW04_segment1.txt,4976
WW04,WW04_segment2.txt,20276
WW04,WW04_segment3.txt,11876
WW05,WW05_segment1_12052017.txt,621
WW05,WW05_segment2.txt,1973
WW05,WW05_segment3_12052017.txt,20700
WW06,WW06_segment1.txt,39661
WW06,WW06_segment2.txt,16261
WW06,WW06_segment3.txt,26161
WW08,WW08_segment1.txt,11578
WW08,WW08_segment2.txt,7378
WW08,WW08_segment3.txt,28678
WW09,WW09_segment1.txt,14031
WW09,WW09_segment2.txt,11031
WW09,WW09_segment3.txt,28731
WW10,WW10_segment1.txt,9301
WW10,WW10_segment2.txt,3301
WW10,WW10_segment3.txt,45001
WW12,WW12_segment1.txt,36051
WW12,WW12_segment2.txt,3351
WW12,WW12_segment3.txt,1251
WW13,WW13_segment1.txt,35158
WW13,WW13_segment2.txt,41758
WW13,WW13_segment3.txt,39058
WW15,WW15_segment1.txt,30509
WW15,WW15_segment2.txt,3509
WW15,WW15_segment3.txt,14309
WW18,WW18_segment1.txt,29433
WW18,WW18_segment2.txt,20733
WW18,WW18_segment3.txt,10833
WW20,WW20_segment1.txt,11562
WW20,WW20_segment2.txt,1662
WW20,WW20_segment3.txt,44262
WW21,WW21_segment1.txt,43429
WW21,WW21_segment2.txt,55129
WW21,WW21_segment3.txt,2329
WW23,WW23_segment1.txt,44476
WW23,WW23_segment2.txt,33976
WW23,WW23_segment3.txt,14476
WW25,WW25_segment1.txt,4751
WW25,WW25_segment2.txt,2651
WW25,WW25_segment3.txt,9851
WW28,WW28_segment1.txt,3139
WW28,WW28_segment2.txt,34939
WW28,WW28_segment3.txt,37339
WW33,WW33_segment1.txt,7570
WW33,WW33_segment2.txt,29470
WW33,WW33_segment3.txt,37870
WW60,WW60_segment1.txt,8690
WW60,WW60_segment2.txt,44090
WW60,WW60_segment3.txt,29990
WW61,WW61_segment1.txt,24058
WW61,WW61_segment2.txt,26158
WW61,WW61_segment3.txt,58
WW62,WW62_segment1.txt,26913
WW62,WW62_segment2.txt,19413
WW62,WW62_segment3.txt,24813